"Standard name","Hermes probability"
"S000000332",0.005
"S000000333",0
"S000000334",0
"S000000335",0.33
"S000000336",0
"S000000337",0
"S000000339",0.915
"S000000340",0.47
"S000000341",0
"S000000342",0.005
"S000000343",0
"S000000344",0.5
"S000000345",0
"S000000346",0.985
"S000000347",0.95
"S000000349",0
"S000000350",0.4
"S000000351",0.015
"S000000352",0
"S000000353",0
"S000000354",0
"S000000355",0.005
"S000000356",0.205
"S000000357",0.895
"S000000358",0.91
"S000000359",0.895
"S000000360",0.88
"S000000361",0
"S000000362",0
"S000000363",0.515
"S000000364",0.955
"S000000365",0
"S000000366",0
"S000002158",0.11
"S000000367",0
"S000000368",0.14
"S000000369",0.005
"S000000370",0.81
"S000000371",0.92
"S000000372",0.55
"S000000373",0
"S000000374",0.855
"S000000375",0.3
"S000000376",0
"S000000377",0.11
"S000000379",0.005
"S000000380",0.39
"S000000381",0
"S000000383",0.255
"S000000384",0
"S000000386",0
"S000028603",0.01
"S000000387",0.01
"S000000388",0
"S000000389",0.01
"S000000390",0
"S000000391",0
"S000000392",0.015
"S000000393",0.8
"S000000395",0.295
"S000000396",0.945
"S000000397",0.95
"S000000398",0.42
"S000000399",0
"S000000400",0.95
"S000028534",0.42
"S000028816",0.005
"S000000401",0.005
"S000000402",0.835
"S000000403",0
"S000000404",0.725
"S000028535",0.455
"S000000405",0.18
"S000087085",0.025
"S000000406",0.94
"S000000407",0
"S000000408",0.215
"S000000409",0
"S000000411",0
"S000000412",0
"S000000414",0.01
"S000000415",0.36
"S000000416",0.04
"S000000417",0
"S000000418",0
"S000000419",0.035
"S000000420",0
"S000000421",0.055
"S000000422",0
"S000000423",0
"S000000424",0
"S000000425",0
"S000028817",0.025
"S000000426",0
"S000000427",0
"S000000429",0
"S000000431",0
"S000000432",0
"S000000433",0
"S000000434",0.005
"S000029722",0.02
"S000000435",0
"S000000437",0
"S000007595",0.57
"S000000438",0.99
"S000000439",0
"S000000440",0.93
"S000000441",0.95
"S000000442",0
"S000000443",0
"S000000444",0
"S000000445",0.015
"S000000446",0
"S000000447",0.96
"S000000448",0.005
"S000000449",0
"S000000450",0
"S000000451",0.97
"S000000452",0
"S000000453",0
"S000000454",0
"S000000455",0.135
"S000000456",0.93
"S000000457",0.735
"S000000458",0.865
"S000000459",0
"S000007649",0.18
"S000000460",0.905
"S000000461",0.78
"S000000462",0
"S000000463",0
"S000000464",0
"S000000465",0
"S000000466",0.07
"S000000467",0.005
"S000000468",0.005
"S000000469",0.935
"S000000471",0.26
"S000000472",0.95
"S000000473",0
"S000000474",0
"S000000475",0.005
"S000000476",0
"S000000477",0
"S000000478",0
"S000000479",0
"S000000480",0
"S000000482",0
"S000000483",0.01
"S000000484",0
"S000000485",0
"S000000486",0.74
"S000000487",0
"S000000488",0
"S000000489",0.005
"S000000490",0
"S000000491",0.005
"S000000492",0.07
"S000000493",0.325
"S000000494",0.005
"S000000495",0
"S000000497",0
"S000000498",0
"S000000499",0.005
"S000000500",0
"S000028605",0
"S000000501",0.005
"S000000502",0
"S000028606",0
"S000000569",0.1
"S000000568",0.005
"S000000566",0
"S000000564",0.96
"S000000563",0.125
"S000028518",0.225
"S000007547",0
"S000000562",0
"S000000561",0.03
"S000000560",0.01
"S000178054",0.445
"S000000559",0.98
"S000000557",0.565
"S000000556",0.06
"S000000555",0
"S000000554",0
"S000087203",0.27
"S000000553",0
"S000000552",0.005
"S000000550",0
"S000000549",0
"S000000548",0.945
"S000000547",0.01
"S000000545",0
"S000000544",0.005
"S000000543",0
"S000000542",0.015
"S000000541",0
"S000000540",0
"S000000539",0
"S000000538",0
"S000000537",0
"S000000536",0.845
"S000000535",0
"S000000534",0
"S000000533",0.015
"S000000532",0
"S000007548",0.01
"S000000589",0.01
"S000000530",0
"S000000529",0
"S000007549",0
"S000000523",0.895
"S000000522",0.56
"S000000521",0
"S000000520",0
"S000029705",0
"S000000517",0
"S000000516",0
"S000000515",0
"S000000514",0.54
"S000028508",0.59
"S000000511",0
"S000000510",0.105
"S000000508",0.005
"S000000507",0
"S000007221",0
"S000007596",0.005
"S000000595",0.29
"S000000596",0.8
"S000000597",0
"S000000598",0
"S000000600",0.01
"S000000601",0
"S000000602",0.295
"S000000603",0
"S000000604",0.03
"S000000605",0.935
"S000000607",0.005
"S000000608",0
"S000000609",0.29
"S000000610",0
"S000000611",0.055
"S000000612",0
"S000000613",0
"S000000614",0.03
"S000006439",0.925
"S000000615",0
"S000000617",0
"S000000618",0.35
"S000028818",0
"S000000619",0.03
"S000000621",0
"S000000622",0.07
"S000000623",0.045
"S000007222",0.65
"S000000626",0
"S000000627",0
"S000000628",0
"S000000629",0
"S000000630",0
"S000000631",0.99
"S000000632",0
"S000000633",0
"S000000638",0.415
"S000000639",0.01
"S000000640",0.585
"S000000641",0
"S000000642",0.385
"S000000643",0.225
"S000000644",0.005
"S000000646",0.08
"S000000647",0
"S000000648",0.54
"S000000649",0.865
"S000000650",0.72
"S000000653",0.94
"S000000655",0.005
"S000000656",0.01
"S000000657",0
"S000000659",0
"S000000661",0
"S000000662",0
"S000000663",0.01
"S000000664",0
"S000000665",0
"S000000667",0.775
"S000000668",0.91
"S000000669",0.005
"S000000718",0
"S000000671",0
"S000028519",0.96
"S000000672",0
"S000000673",0
"S000002133",0
"S000000677",0.06
"S000000678",0.155
"S000000679",0.015
"S000000680",0.2
"S000000682",0
"S000007223",0
"S000000684",0
"S000000685",0
"S000000686",0
"S000000687",0
"S000000688",0
"S000000689",0.95
"S000000690",0.285
"S000000691",0.15
"S000029724",0.03
"S000000694",0.005
"S000000695",0
"S000000696",0.06
"S000000697",0.11
"S000000698",0
"S000000699",0.005
"S000000701",0.18
"S000000702",0
"S000000703",0
"S000000704",0.005
"S000028536",0.01
"S000002402",0
"S000002400",0
"S000002399",0
"S000002398",0
"S000002397",0
"S000002396",0
"S000002395",0
"S000002394",0.565
"S000002393",0
"S000002392",0
"S000002391",0.72
"S000002390",0
"S000002389",0
"S000002386",0
"S000002385",0
"S000002384",0.01
"S000002383",0
"S000002382",0
"S000002381",0
"S000002379",0.225
"S000002378",0.305
"S000002377",0.01
"S000002376",0.805
"S000002375",0
"S000002374",0
"S000002373",0
"S000002372",0
"S000002371",0.635
"S000002370",0
"S000002369",0
"S000002368",0.98
"S000002367",0.92
"S000002366",0.955
"S000002365",0.005
"S000002364",0.92
"S000002363",0.005
"S000002362",0
"S000002361",0.575
"S000002360",0
"S000002359",0
"S000002358",0
"S000002357",0
"S000002356",0
"S000002354",0.96
"S000002353",0
"S000002352",0.985
"S000002351",0.085
"S000002349",0
"S000002348",0
"S000002347",0
"S000002345",0
"S000002344",0.95
"S000002343",0.03
"S000002342",0
"S000002340",0
"S000002339",0
"S000002338",0
"S000002337",0
"S000002336",0
"S000002335",0
"S000002334",0
"S000002333",0
"S000002332",0.21
"S000002330",0.005
"S000002329",0
"S000002328",0.215
"S000002327",0
"S000002326",0
"S000002325",0.89
"S000002324",0.49
"S000002323",0.925
"S000002320",0
"S000028520",0.025
"S000002319",0.15
"S000007599",0.05
"S000002318",0
"S000002316",0.1
"S000002315",0
"S000002314",0
"S000002313",0
"S000002312",0.815
"S000002309",0.96
"S000002308",0
"S000002307",0.83
"S000002306",0.8
"S000002305",0.02
"S000002304",0.975
"S000002303",0
"S000002302",0.985
"S000002301",0.005
"S000002300",0.935
"S000002299",0.93
"S000002298",0.695
"S000002297",0
"S000002296",0
"S000002294",0
"S000002292",0.005
"S000002293",0.265
"S000002291",0
"S000002290",0.865
"S000007232",0.275
"S000002288",0
"S000002287",0.01
"S000002286",0
"S000002285",0
"S000002284",0.925
"S000002283",0
"S000002282",0
"S000002281",0.035
"S000002280",0
"S000002279",0.01
"S000002278",0.37
"S000002277",0
"S000002275",0
"S000002274",0.035
"S000002273",0.07
"S000002272",0.01
"S000002271",0
"S000002270",0
"S000002269",0.99
"S000002268",0
"S000002267",0
"S000002266",0.97
"S000002265",0.005
"S000002264",0.01
"S000002263",0.935
"S000002262",0
"S000002261",0.9
"S000002260",0.825
"S000002259",0
"S000002258",0.005
"S000002257",0
"S000002256",0.145
"S000002255",0.87
"S000002253",0
"S000002251",0
"S000002250",0.655
"S000002249",0
"S000002248",0.825
"S000002247",0
"S000002246",0.005
"S000002245",0.87
"S000002244",0.005
"S000007588",0.09
"S000002243",0
"S000002242",0.95
"S000002241",0
"S000002240",0
"S000002239",0.13
"S000002238",0
"S000002237",0
"S000002236",0
"S000002235",0.245
"S000002234",0.005
