,FPR,TPR,Thresholds
0,0.0,0.0,2.0
1,0.0,0.12144702842377261,1.0
2,0.0,0.17571059431524547,0.995
3,0.0,0.20930232558139536,0.99
4,0.0,0.22997416020671835,0.985
5,0.0,0.26356589147286824,0.98
6,0.0,0.29457364341085274,0.975
7,0.0,0.2997416020671835,0.97
8,0.0,0.32041343669250644,0.965
9,0.0,0.32558139534883723,0.96
10,0.0,0.3359173126614987,0.955
11,0.0,0.3488372093023256,0.95
12,0.0,0.3643410852713178,0.945
13,0.0,0.38242894056847543,0.94
14,0.0,0.4160206718346253,0.935
15,0.0,0.4263565891472868,0.93
16,0.0,0.4418604651162791,0.925
17,0.0,0.4496124031007752,0.915
18,0.0,0.4625322997416021,0.905
19,0.0017482517482517483,0.4702842377260982,0.9
20,0.0017482517482517483,0.4780361757105943,0.895
21,0.0017482517482517483,0.4935400516795866,0.89
22,0.0017482517482517483,0.5012919896640827,0.885
23,0.0034965034965034965,0.5090439276485789,0.88
24,0.005244755244755245,0.5193798449612403,0.875
25,0.005244755244755245,0.524547803617571,0.87
26,0.005244755244755245,0.5271317829457365,0.865
27,0.005244755244755245,0.5426356589147286,0.86
28,0.005244755244755245,0.5452196382428941,0.855
29,0.005244755244755245,0.5555555555555556,0.85
30,0.005244755244755245,0.5581395348837209,0.845
31,0.008741258741258742,0.5736434108527132,0.835
32,0.008741258741258742,0.5762273901808785,0.83
33,0.008741258741258742,0.58656330749354,0.82
34,0.008741258741258742,0.5891472868217055,0.815
35,0.01048951048951049,0.5943152454780362,0.81
36,0.01048951048951049,0.6020671834625323,0.805
37,0.01048951048951049,0.6072351421188631,0.795
38,0.013986013986013986,0.6201550387596899,0.79
39,0.015734265734265736,0.6201550387596899,0.785
40,0.015734265734265736,0.6304909560723514,0.78
41,0.015734265734265736,0.6459948320413437,0.775
42,0.017482517482517484,0.648578811369509,0.77
43,0.017482517482517484,0.6563307493540051,0.765
44,0.017482517482517484,0.661498708010336,0.76
45,0.022727272727272728,0.661498708010336,0.755
46,0.026223776223776224,0.661498708010336,0.745
47,0.027972027972027972,0.6692506459948321,0.74
48,0.03146853146853147,0.6718346253229974,0.735
49,0.03146853146853147,0.6770025839793282,0.73
50,0.033216783216783216,0.6821705426356589,0.725
51,0.03496503496503497,0.6847545219638242,0.72
52,0.03671328671328671,0.6925064599483204,0.715
53,0.038461538461538464,0.6976744186046512,0.71
54,0.04195804195804196,0.7028423772609819,0.705
55,0.043706293706293704,0.7080103359173127,0.7
56,0.04895104895104895,0.710594315245478,0.695
57,0.04895104895104895,0.7183462532299741,0.69
58,0.050699300699300696,0.7338501291989664,0.685
59,0.050699300699300696,0.7390180878552972,0.68
60,0.05419580419580419,0.7416020671834626,0.675
61,0.055944055944055944,0.751937984496124,0.67
62,0.055944055944055944,0.7545219638242894,0.66
63,0.057692307692307696,0.7596899224806202,0.655
64,0.05944055944055944,0.772609819121447,0.645
65,0.06118881118881119,0.7751937984496124,0.64
66,0.06293706293706294,0.7803617571059431,0.635
67,0.06468531468531469,0.7829457364341085,0.625
68,0.06468531468531469,0.7855297157622739,0.62
69,0.06643356643356643,0.7881136950904393,0.615
70,0.06643356643356643,0.7958656330749354,0.61
71,0.06643356643356643,0.8062015503875969,0.6
72,0.06818181818181818,0.8087855297157622,0.595
73,0.06818181818181818,0.8165374677002584,0.59
74,0.06993006993006994,0.8191214470284238,0.58
75,0.06993006993006994,0.8242894056847545,0.575
76,0.07342657342657342,0.8242894056847545,0.57
77,0.07517482517482517,0.8242894056847545,0.565
78,0.08391608391608392,0.8242894056847545,0.56
79,0.08391608391608392,0.8268733850129198,0.555
80,0.08916083916083917,0.8294573643410853,0.55
81,0.08916083916083917,0.8372093023255814,0.545
82,0.09090909090909091,0.8397932816537468,0.54
83,0.0944055944055944,0.8423772609819121,0.535
84,0.0944055944055944,0.8449612403100775,0.53
85,0.0979020979020979,0.8449612403100775,0.52
86,0.09965034965034965,0.8449612403100775,0.515
87,0.10314685314685315,0.8449612403100775,0.51
88,0.1048951048951049,0.8449612403100775,0.505
89,0.1048951048951049,0.8475452196382429,0.5
90,0.1048951048951049,0.8578811369509044,0.49
91,0.1048951048951049,0.8630490956072352,0.475
92,0.10839160839160839,0.8656330749354005,0.47
93,0.10839160839160839,0.8682170542635659,0.46
94,0.11013986013986014,0.8708010335917312,0.455
95,0.11013986013986014,0.8733850129198967,0.45
96,0.11538461538461539,0.8811369509043928,0.43
97,0.11888111888111888,0.8837209302325582,0.425
98,0.11888111888111888,0.8888888888888888,0.42
99,0.12237762237762238,0.8940568475452196,0.41
100,0.12412587412587413,0.8992248062015504,0.405
101,0.1258741258741259,0.8992248062015504,0.4
102,0.13286713286713286,0.9018087855297158,0.39
103,0.1346153846153846,0.9018087855297158,0.38
104,0.13636363636363635,0.9069767441860465,0.375
105,0.14160839160839161,0.9069767441860465,0.355
106,0.14335664335664336,0.9095607235142119,0.35
107,0.14685314685314685,0.9095607235142119,0.345
108,0.1486013986013986,0.9121447028423773,0.34
109,0.15034965034965034,0.9121447028423773,0.335
110,0.1555944055944056,0.9121447028423773,0.325
111,0.1590909090909091,0.9121447028423773,0.305
112,0.16083916083916083,0.9147286821705426,0.3
113,0.16433566433566432,0.917312661498708,0.295
114,0.16958041958041958,0.9224806201550387,0.285
115,0.17482517482517482,0.9302325581395349,0.28
116,0.17832167832167833,0.9328165374677002,0.275
117,0.1853146853146853,0.9328165374677002,0.265
118,0.19055944055944055,0.9354005167958657,0.255
119,0.19755244755244755,0.937984496124031,0.25
120,0.19755244755244755,0.9405684754521964,0.245
121,0.20279720279720279,0.9457364341085271,0.235
122,0.20454545454545456,0.9457364341085271,0.23
123,0.21153846153846154,0.9509043927648578,0.22
124,0.21328671328671328,0.9534883720930233,0.215
125,0.21678321678321677,0.9534883720930233,0.21
126,0.2202797202797203,0.958656330749354,0.205
127,0.22552447552447552,0.958656330749354,0.195
128,0.23426573426573427,0.958656330749354,0.19
129,0.2395104895104895,0.9612403100775194,0.185
130,0.243006993006993,0.9638242894056848,0.18
131,0.243006993006993,0.9689922480620154,0.175
132,0.24475524475524477,0.9689922480620154,0.17
133,0.24825174825174826,0.9689922480620154,0.165
134,0.256993006993007,0.9715762273901809,0.16
135,0.26048951048951047,0.9715762273901809,0.155
136,0.2692307692307692,0.9715762273901809,0.15
137,0.27972027972027974,0.9715762273901809,0.145
138,0.28496503496503495,0.9741602067183462,0.14
139,0.2902097902097902,0.979328165374677,0.135
140,0.3006993006993007,0.9819121447028424,0.13
141,0.3076923076923077,0.9819121447028424,0.125
142,0.3181818181818182,0.9819121447028424,0.12
143,0.32517482517482516,0.9870801033591732,0.115
144,0.3356643356643357,0.9870801033591732,0.11
145,0.3479020979020979,0.9870801033591732,0.105
146,0.3548951048951049,0.9870801033591732,0.1
147,0.3776223776223776,0.9870801033591732,0.095
148,0.38636363636363635,0.9870801033591732,0.09
149,0.40034965034965037,0.9870801033591732,0.085
150,0.4125874125874126,0.9870801033591732,0.08
151,0.4318181818181818,0.9896640826873385,0.075
152,0.44405594405594406,0.9922480620155039,0.07
153,0.4562937062937063,0.9922480620155039,0.065
154,0.47027972027972026,0.9922480620155039,0.06
155,0.4807692307692308,0.9922480620155039,0.055
156,0.5104895104895105,0.9922480620155039,0.05
157,0.5384615384615384,0.9922480620155039,0.045
158,0.5716783216783217,0.9948320413436692,0.04
159,0.6031468531468531,0.9948320413436692,0.035
160,0.6486013986013986,1.0,0.03
161,0.6993006993006993,1.0,0.025
162,0.7465034965034965,1.0,0.02
163,0.7972027972027972,1.0,0.015
164,0.8741258741258742,1.0,0.01
165,0.9493006993006993,1.0,0.005
166,1.0,1.0,0.0
