,id,Hermes probability
297,CAGL0B02233g,0.975
298,CAGL0B02255g,0.445
299,CAGL0B02277g,0.035
300,CAGL0B02299g,0.615
301,CAGL0B02321g,0.11
302,CAGL0B02343g,0.0
303,CAGL0B02365g,0.045
304,CAGL0B02387g,0.005
305,CAGL0B02409g,0.0
306,CAGL0B02431g,0.015
307,CAGL0B02453g,0.02
308,CAGL0B02475g,0.01
309,CAGL0B02497g,0.825
310,CAGL0B02519g,1.0
311,CAGL0B02541g,0.915
312,CAGL0B02563g,0.07
313,CAGL0B02585g,0.08
314,CAGL0B02607g,0.84
315,CAGL0B02629g,0.01
316,CAGL0B02651g,0.01
317,CAGL0B02673g,0.41
318,CAGL0B02695g,0.22
319,CAGL0B02717g,0.95
320,CAGL0B02739g,0.025
321,CAGL0B02755g,0.055
322,CAGL0B02761g,0.03
323,CAGL0B02772g,0.49
324,CAGL0B02794g,0.995
325,CAGL0B02816g,0.415
326,CAGL0B02838g,0.03
327,CAGL0B02860g,0.035
328,CAGL0B02882g,0.03
329,CAGL0B02904g,0.005
330,CAGL0B02926g,0.32
331,CAGL0B02948g,0.0
332,CAGL0B02970g,0.065
333,CAGL0B02981g,0.025
334,CAGL0B03014g,0.01
335,CAGL0B03047g,0.73
336,CAGL0B03069g,0.11
337,CAGL0B03091g,0.04
338,CAGL0B03113g,0.03
339,CAGL0B03179g,0.36
340,CAGL0B03201g,0.405
341,CAGL0B03223g,0.01
342,CAGL0B03245g,0.03
343,CAGL0B03267g,0.025
344,CAGL0B03289g,0.01
345,CAGL0B03311g,0.01
346,CAGL0B03333g,0.11
347,CAGL0B03355g,0.155
348,CAGL0B03377g,0.02
349,CAGL0B03399g,0.025
350,CAGL0B03421g,0.0
351,CAGL0B03443g,0.01
352,CAGL0B03465g,0.015
353,CAGL0B03487g,0.91
354,CAGL0B03509g,0.035
355,CAGL0B03531g,0.01
356,CAGL0B03553g,0.93
357,CAGL0B03575g,0.03
358,CAGL0B03597g,0.965
359,CAGL0B03608g,0.015
360,CAGL0B03619g,0.065
361,CAGL0B03641g,0.92
362,CAGL0B03663g,0.03
363,CAGL0B03685g,0.06
364,CAGL0B03707g,0.9
365,CAGL0B03773g,0.0
366,CAGL0B03795g,0.98
367,CAGL0B03817g,0.01
368,CAGL0B03839g,0.02
369,CAGL0B03855g,0.025
370,CAGL0B03861g,0.015
371,CAGL0B03883g,0.005
372,CAGL0B03899g,0.34
373,CAGL0B03905g,0.765
374,CAGL0B03927g,0.48
375,CAGL0B03949g,0.01
376,CAGL0B03971g,0.01
377,CAGL0B03993g,1.0
378,CAGL0B04015g,0.02
379,CAGL0B04037g,0.47
380,CAGL0B04059g,0.0
381,CAGL0B04103g,0.01
382,CAGL0B04125g,0.93
383,CAGL0B04147g,0.005
384,CAGL0B04169g,0.0
385,CAGL0B04191g,0.0
386,CAGL0B04213g,0.065
387,CAGL0B04235g,0.0
388,CAGL0B04257g,0.755
389,CAGL0B04279g,0.015
390,CAGL0B04301g,0.02
391,CAGL0B04323g,0.015
392,CAGL0B04345g,0.015
393,CAGL0B04367g,0.005
394,CAGL0B04389g,0.005
395,CAGL0B04411g,0.105
396,CAGL0B04433g,0.805
397,CAGL0B04455g,0.03
398,CAGL0B04477g,0.005
399,CAGL0B04499g,0.675
400,CAGL0B04521g,0.215
401,CAGL0B04543g,0.01
402,CAGL0B04565g,0.015
403,CAGL0B04587g,0.01
404,CAGL0B04609g,0.025
405,CAGL0B04631g,0.0
406,CAGL0B04675g,0.025
407,CAGL0B04697g,0.01
408,CAGL0B04719g,0.025
409,CAGL0B04741g,0.015
410,CAGL0B04763g,0.005
411,CAGL0B04785g,0.0
412,CAGL0B04807g,0.02
413,CAGL0B04829g,0.015
414,CAGL0B04851g,0.0
415,CAGL0B04873g,0.575
416,CAGL0B04895g,0.05
417,CAGL0B04917g,0.03
418,CAGL0B04939g,0.02
419,CAGL0B04961g,0.025
420,CAGL0B04983g,0.005
421,CAGL0B05049g,0.02
422,CAGL0B05126g,0.675
423,CAGL0B05137g,0.915
424,CAGL0B05148g,0.96
425,CAGL0C00110g,0.335
426,CAGL0C00209g,0.545
427,CAGL0C00231g,0.785
428,CAGL0C00253g,0.39
429,CAGL0C00275g,0.005
430,CAGL0C00297g,0.2
431,CAGL0C00319g,0.0
432,CAGL0C00341g,0.63
433,CAGL0C00363g,0.865
434,CAGL0C00385g,0.0
435,CAGL0C00407g,0.075
436,CAGL0C00429g,0.485
437,CAGL0C00451g,0.38
438,CAGL0C00473g,0.985
439,CAGL0C00495g,0.515
440,CAGL0C00517g,0.02
441,CAGL0C00539g,0.095
442,CAGL0C00561g,0.55
443,CAGL0C00583g,0.06
444,CAGL0C00605g,0.05
445,CAGL0C00627g,0.85
446,CAGL0C00649g,0.755
447,CAGL0C00671g,0.015
448,CAGL0C00693g,0.025
449,CAGL0C00715g,0.6
450,CAGL0C00737g,1.0
451,CAGL0C00759g,0.58
452,CAGL0C00781g,0.01
453,CAGL0C00847g,0.035
454,CAGL0C00946g,0.02
455,CAGL0C00968g,0.395
456,CAGL0C01056g,0.65
457,CAGL0C01078g,0.805
458,CAGL0C01133g,0.045
459,CAGL0C01155g,0.055
460,CAGL0C01177g,1.0
461,CAGL0C01199g,0.03
462,CAGL0C01221g,0.89
463,CAGL0C01243g,0.065
464,CAGL0C01265g,0.885
465,CAGL0C01287g,0.02
466,CAGL0C01309g,0.005
467,CAGL0C01325g,0.095
468,CAGL0C01331g,0.045
469,CAGL0C01353g,0.035
470,CAGL0C01375g,0.12
471,CAGL0C01397g,0.115
472,CAGL0C01419g,0.005
473,CAGL0C01435g,0.005
474,CAGL0C01441g,0.085
475,CAGL0C01463g,0.21
476,CAGL0C01485g,0.005
477,CAGL0C01507g,0.065
478,CAGL0C01529g,0.08
479,CAGL0C01551g,0.005
480,CAGL0C01573g,0.04
481,CAGL0C01595g,0.015
482,CAGL0C01617g,0.39
483,CAGL0C01639g,0.995
484,CAGL0C01661g,0.01
485,CAGL0C01683g,0.045
486,CAGL0C01705g,0.005
487,CAGL0C01727g,0.92
488,CAGL0C01749g,0.005
489,CAGL0C01771g,0.0
490,CAGL0C01793g,0.345
491,CAGL0C01815g,0.015
492,CAGL0C01837g,0.085
493,CAGL0C01859g,0.765
494,CAGL0C01881g,0.005
495,CAGL0C01903g,1.0
496,CAGL0C01919g,0.98
497,CAGL0C01925g,0.945
498,CAGL0C01947g,0.99
499,CAGL0C01969g,0.81
500,CAGL0C01991g,0.035
501,CAGL0C02013g,0.02
502,CAGL0C02035g,0.065
503,CAGL0C02057g,0.155
504,CAGL0C02079g,0.015
505,CAGL0C02101g,0.03
506,CAGL0C02123g,0.045
507,CAGL0C02145g,0.03
508,CAGL0C02167g,0.0
509,CAGL0C02189g,0.425
510,CAGL0C02211g,0.065
511,CAGL0C02233g,0.035
512,CAGL0C02255g,0.0
513,CAGL0C02277g,0.01
514,CAGL0C02299g,0.89
515,CAGL0C02321g,0.01
516,CAGL0C02343g,0.23
517,CAGL0C02365g,0.085
518,CAGL0C02387g,0.5
519,CAGL0C02409g,0.0
520,CAGL0C02431g,0.0
521,CAGL0C02453g,0.2
522,CAGL0C02475g,0.11
523,CAGL0C02497g,0.475
524,CAGL0C02519g,0.0
525,CAGL0C02541g,0.86
526,CAGL0C02563g,0.005
527,CAGL0C02585g,1.0
528,CAGL0C02607g,0.715
529,CAGL0C02623g,0.7
530,CAGL0C02629g,0.005
531,CAGL0C02651g,0.0
532,CAGL0C02673g,0.01
533,CAGL0C02695g,0.955
534,CAGL0C02717g,0.275
535,CAGL0C02739g,0.155
536,CAGL0C02761g,0.015
537,CAGL0C02783g,0.0
538,CAGL0C02805g,0.545
539,CAGL0C02827g,0.0
540,CAGL0C02849g,0.14
541,CAGL0C02871g,0.045
542,CAGL0C02893g,0.01
543,CAGL0C02937g,0.015
544,CAGL0C02959g,0.315
545,CAGL0C02981g,0.005
546,CAGL0C03003g,0.94
547,CAGL0C03025g,0.75
548,CAGL0C03047g,0.815
549,CAGL0C03069g,1.0
550,CAGL0C03113g,0.015
551,CAGL0C03135g,0.93
552,CAGL0C03179g,0.015
553,CAGL0C03201g,0.03
554,CAGL0C03223g,0.005
555,CAGL0C03245g,0.015
556,CAGL0C03267g,0.025
557,CAGL0C03289g,0.01
558,CAGL0C03311g,0.05
559,CAGL0C03333g,0.0
560,CAGL0C03355g,0.235
561,CAGL0C03369g,0.98
562,CAGL0C03399g,0.0
563,CAGL0C03421g,0.2
564,CAGL0C03443g,0.2
565,CAGL0C03465g,0.3
566,CAGL0C03487g,0.02
567,CAGL0C03509g,0.015
568,CAGL0C03531g,0.255
569,CAGL0C03553g,0.0
570,CAGL0C03575g,0.015
571,CAGL0C03597g,0.255
572,CAGL0C03608g,0.01
573,CAGL0C03630g,0.8
574,CAGL0C03652g,0.035
575,CAGL0C03674g,0.025
576,CAGL0C03696g,0.025
577,CAGL0C03740g,0.025
578,CAGL0C03762g,0.035
579,CAGL0C03784g,0.015
580,CAGL0C03828g,0.015
581,CAGL0C03850g,0.01
582,CAGL0C03872g,0.04
583,CAGL0C03894g,0.015
584,CAGL0C03916g,0.005
585,CAGL0C03938g,0.91
586,CAGL0C03960g,1.0
587,CAGL0C03982g,0.995
588,CAGL0C04004g,0.01
589,CAGL0C04026g,0.005
590,CAGL0C04048g,0.0
591,CAGL0C04092g,0.01
592,CAGL0C04114g,0.015
593,CAGL0C04136g,0.07
594,CAGL0C04169g,0.01
595,CAGL0C04191g,0.0
596,CAGL0C04213g,0.31
597,CAGL0C04235g,0.915
598,CAGL0C04257g,0.005
599,CAGL0C04279g,0.94
600,CAGL0C04301g,0.645
601,CAGL0C04323g,0.02
602,CAGL0C04367g,0.03
603,CAGL0C04389g,0.59
604,CAGL0C04411g,0.005
605,CAGL0C04433g,1.0
606,CAGL0C04455g,0.04
607,CAGL0C04477g,0.015
608,CAGL0C04499g,0.02
609,CAGL0C04543g,0.01
610,CAGL0C04565g,0.015
611,CAGL0C04587g,0.055
612,CAGL0C04609g,0.01
613,CAGL0C04631g,0.05
614,CAGL0C04697g,0.01
615,CAGL0C04719g,0.005
616,CAGL0C04741g,0.0
617,CAGL0C04763g,0.055
618,CAGL0C04785g,0.0
619,CAGL0C04807g,0.01
620,CAGL0C04829g,0.09
621,CAGL0C04851g,0.635
622,CAGL0C04873g,0.05
623,CAGL0C04895g,0.035
624,CAGL0C04917g,0.02
625,CAGL0C04933g,0.01
626,CAGL0C04939g,0.11
627,CAGL0C04961g,0.005
628,CAGL0C04983g,0.05
629,CAGL0C05005g,0.565
630,CAGL0C05027g,0.0
631,CAGL0C05049g,0.005
632,CAGL0C05071g,0.025
633,CAGL0C05093g,0.01
634,CAGL0C05115g,0.02
635,CAGL0C05137g,0.015
636,CAGL0C05159g,0.0
637,CAGL0C05181g,0.01
638,CAGL0C05203g,0.125
639,CAGL0C05225g,0.0
640,CAGL0C05247g,0.01
641,CAGL0C05269g,0.04
642,CAGL0C05291g,0.745
643,CAGL0C05313g,0.665
644,CAGL0C05335g,0.005
645,CAGL0C05357g,0.01
646,CAGL0C05379g,0.01
647,CAGL0C05401g,0.21
648,CAGL0C05423g,0.115
649,CAGL0C05445g,0.005
650,CAGL0C05461g,0.98
651,CAGL0C05467g,0.03
652,CAGL0C05489g,0.015
653,CAGL0C05511g,0.09
654,CAGL0C05533g,0.015
655,CAGL0C05555g,0.085
656,CAGL0C05577g,0.2
657,CAGL0C05599g,0.025
658,CAGL0C05621g,0.98
659,CAGL0C05643g,0.995
660,CAGL0D00105g,0.985
661,CAGL0D00116g,0.955
662,CAGL0D00154g,0.16
663,CAGL0D00176g,0.2
664,CAGL0D00198g,0.245
665,CAGL0D00220g,0.985
666,CAGL0D00242g,0.095
667,CAGL0D00264g,0.005
668,CAGL0D00286g,0.01
669,CAGL0D00330g,0.51
670,CAGL0D00352g,0.025
671,CAGL0D00374g,0.005
672,CAGL0D00396g,0.04
673,CAGL0D00418g,0.025
674,CAGL0D00440g,0.89
675,CAGL0D00462g,0.005
676,CAGL0D00484g,0.84
677,CAGL0D00506g,0.01
678,CAGL0D00528g,0.94
679,CAGL0D00550g,1.0
680,CAGL0D00572g,0.735
681,CAGL0D00594g,0.005
682,CAGL0D00616g,0.705
683,CAGL0D00638g,0.715
684,CAGL0D00660g,0.01
685,CAGL0D00682g,0.015
686,CAGL0D00704g,0.23
687,CAGL0D00726g,0.345
688,CAGL0D00748g,0.28
689,CAGL0D00770g,0.02
690,CAGL0D00792g,0.02
691,CAGL0D00814g,0.1
692,CAGL0D00836g,0.365
693,CAGL0D00858g,0.925
694,CAGL0D00869g,0.935
695,CAGL0D00880g,0.905
696,CAGL0D00902g,0.005
697,CAGL0D00924g,0.08
698,CAGL0D00946g,0.915
699,CAGL0D00990g,0.045
700,CAGL0D01012g,0.045
701,CAGL0D01034g,0.915
702,CAGL0D01056g,0.035
703,CAGL0D01078g,1.0
704,CAGL0D01100g,0.52
705,CAGL0D01122g,0.93
706,CAGL0D01144g,0.02
707,CAGL0D01166g,0.005
708,CAGL0D01188g,0.445
709,CAGL0D01210g,0.0
710,CAGL0D01232g,0.23
711,CAGL0D01254g,0.005
712,CAGL0D01265g,0.84
713,CAGL0D01276g,0.02
714,CAGL0D01298g,1.0
715,CAGL0D01320g,0.1
716,CAGL0D01342g,0.01
717,CAGL0D01364g,0.01
718,CAGL0D01386g,0.795
719,CAGL0D01408g,0.995
720,CAGL0D01430g,0.005
721,CAGL0D01452g,0.99
722,CAGL0D01474g,0.125
723,CAGL0D01496g,0.945
724,CAGL0D01518g,0.045
725,CAGL0D01540g,0.005
726,CAGL0D01562g,0.005
727,CAGL0D01584g,0.005
728,CAGL0D01606g,0.155
729,CAGL0D01628g,0.95
730,CAGL0D01650g,1.0
731,CAGL0D01672g,0.5
732,CAGL0D01694g,0.175
733,CAGL0D01716g,0.94
734,CAGL0D01738g,0.705
735,CAGL0D01760g,0.025
736,CAGL0D01782g,0.055
737,CAGL0D01804g,0.465
738,CAGL0D01826g,0.05
739,CAGL0D01837g,0.03
740,CAGL0D01892g,0.005
741,CAGL0D01914g,1.0
742,CAGL0D01936g,0.01
743,CAGL0D01958g,0.015
744,CAGL0D01980g,0.215
745,CAGL0D02002g,0.945
746,CAGL0D02018g,0.975
747,CAGL0D02024g,0.055
748,CAGL0D02046g,0.015
749,CAGL0D02068g,0.01
750,CAGL0D02090g,0.03
751,CAGL0D02112g,0.32
752,CAGL0D02134g,0.07
753,CAGL0D02150g,0.995
754,CAGL0D02156g,0.975
755,CAGL0D02178g,0.04
756,CAGL0D02200g,0.95
757,CAGL0D02222g,0.16
758,CAGL0D02244g,0.07
759,CAGL0D02266g,0.02
760,CAGL0D02288g,0.71
761,CAGL0D02310g,0.02
762,CAGL0D02332g,1.0
763,CAGL0D02354g,0.995
764,CAGL0D02376g,0.375
765,CAGL0D02398g,0.075
766,CAGL0D02420g,0.5
767,CAGL0D02442g,0.17
768,CAGL0D02464g,0.755
769,CAGL0D02486g,0.01
770,CAGL0D02508g,0.04
771,CAGL0D02530g,0.005
772,CAGL0D02552g,0.02
773,CAGL0D02574g,0.01
774,CAGL0D02596g,0.79
775,CAGL0D02618g,0.01
776,CAGL0D02640g,1.0
777,CAGL0D02662g,1.0
778,CAGL0D02684g,0.99
779,CAGL0D02706g,0.675
780,CAGL0D02728g,0.04
781,CAGL0D02761g,0.53
782,CAGL0D02772g,0.835
783,CAGL0D02794g,0.03
784,CAGL0D02816g,1.0
785,CAGL0D02838g,1.0
786,CAGL0D02860g,0.42
787,CAGL0D02882g,0.01
788,CAGL0D02904g,0.91
789,CAGL0D02926g,0.005
790,CAGL0D02948g,0.93
791,CAGL0D02970g,0.055
792,CAGL0D02992g,0.215
793,CAGL0D03014g,1.0
794,CAGL0D03036g,0.18
795,CAGL0D03058g,0.995
796,CAGL0D03080g,0.87
797,CAGL0D03102g,0.34
798,CAGL0D03124g,0.965
799,CAGL0D03146g,0.025
800,CAGL0D03168g,0.8
801,CAGL0D03190g,0.01
802,CAGL0D03212g,0.02
803,CAGL0D03234g,0.0
804,CAGL0D03256g,0.0
805,CAGL0D03278g,0.04
806,CAGL0D03300g,0.98
807,CAGL0D03322g,0.02
808,CAGL0D03344g,0.01
809,CAGL0D03388g,0.025
810,CAGL0D03410g,0.96
811,CAGL0D03432g,0.79
812,CAGL0D03454g,0.0
813,CAGL0D03498g,0.95
814,CAGL0D03520g,0.08
815,CAGL0D03542g,0.03
816,CAGL0D03564g,0.985
817,CAGL0D03586g,0.105
818,CAGL0D03608g,0.01
819,CAGL0D03630g,0.335
820,CAGL0D03652g,0.28
821,CAGL0D03674g,0.0
822,CAGL0D03696g,0.065
823,CAGL0D03718g,0.96
824,CAGL0D03740g,0.93
825,CAGL0D03762g,0.975
826,CAGL0D03784g,1.0
827,CAGL0D03806g,0.27
828,CAGL0D03828g,0.995
829,CAGL0D03850g,0.26
830,CAGL0D03872g,0.0
831,CAGL0D03894g,0.01
832,CAGL0D03916g,0.38
833,CAGL0D03938g,0.025
834,CAGL0D03960g,1.0
835,CAGL0D03982g,0.005
836,CAGL0D04004g,0.01
837,CAGL0D04026g,0.005
838,CAGL0D04048g,0.61
839,CAGL0D04070g,0.02
840,CAGL0D04092g,0.055
841,CAGL0D04114g,0.86
842,CAGL0D04136g,0.015
843,CAGL0D04158g,0.055
844,CAGL0D04180g,1.0
845,CAGL0D04202g,0.37
846,CAGL0D04246g,0.115
847,CAGL0D04268g,0.825
848,CAGL0D04290g,0.95
849,CAGL0D04312g,0.01
850,CAGL0D04356g,0.285
851,CAGL0D04378g,0.87
852,CAGL0D04394g,0.46
853,CAGL0D04400g,0.42
854,CAGL0D04422g,0.98
855,CAGL0D04444g,0.345
856,CAGL0D04466g,0.995
857,CAGL0D04488g,0.19
858,CAGL0D04510g,0.04
859,CAGL0D04576g,0.005
860,CAGL0D04620g,0.04
861,CAGL0D04642g,0.03
862,CAGL0D04686g,0.01
863,CAGL0D04708g,0.015
864,CAGL0D04730g,0.0
865,CAGL0D04752g,0.05
866,CAGL0D04774g,0.045
867,CAGL0D04796g,0.645
868,CAGL0D04818g,0.815
869,CAGL0D04834g,0.315
870,CAGL0D04840g,0.005
871,CAGL0D04862g,0.995
