"FPR","TPR","Thresholds"
0.109339407744875,0.975433526011561,0.245
0.111047835990888,0.976878612716763,0.24
0.112186788154897,0.979768786127167,0.23
0.112756264236902,0.979768786127167,0.225
0.113895216400911,0.979768786127167,0.22
0.114464692482916,0.979768786127167,0.215
0.11503416856492,0.98121387283237,0.205
0.116173120728929,0.98121387283237,0.2
0.116742596810934,0.98121387283237,0.195
0.117881548974943,0.98121387283237,0.185
0.120728929384966,0.98121387283237,0.18
0.12129840546697,0.98121387283237,0.175
0.12243735763098,0.98121387283237,0.17
0.124715261958998,0.982658959537572,0.16
0.126993166287016,0.982658959537572,0.15
0.129271070615034,0.982658959537572,0.145
0.129271070615034,0.984104046242775,0.14
0.129840546697039,0.984104046242775,0.135
0.132687927107062,0.985549132947977,0.13
0.13496583143508,0.985549132947977,0.125
0.136104783599089,0.985549132947977,0.12
0.136674259681093,0.986994219653179,0.115
0.139521640091116,0.986994219653179,0.11
0.14123006833713,0.986994219653179,0.105
0.142938496583144,0.989884393063584,0.1
0.146355353075171,0.989884393063584,0.095
0.149202733485194,0.989884393063584,0.09
0.154328018223235,0.992774566473988,0.085
0.157175398633257,0.992774566473988,0.08
0.158314350797267,0.994219653179191,0.075
0.163439635535308,0.994219653179191,0.07
0.16628701594533,0.994219653179191,0.065
0.169703872437358,0.994219653179191,0.06
0.174259681093394,0.994219653179191,0.055
0.182232346241458,0.994219653179191,0.05
0.188496583143508,0.994219653179191,0.045
0.19248291571754,0.994219653179191,0.04
0.203872437357631,0.994219653179191,0.035
0.21127562642369,0.994219653179191,0.03
0.21753986332574,0.995664739884393,0.025
0.230637813211845,0.998554913294798,0.02
0.247722095671982,0.998554913294798,0.015
0.285876993166287,0.998554913294798,0.01
0.395216400911162,0.998554913294798,0.005
1,1,0
