"FPR","TPR","Thresholds"
0,0,2
0,0.004335260115607,1
0.001138952164009,0.010115606936416,0.995
0.001708428246014,0.017341040462428,0.99
0.001708428246014,0.028901734104046,0.985
0.002277904328018,0.043352601156069,0.98
0.003416856492027,0.054913294797688,0.975
0.003986332574032,0.069364161849711,0.97
0.005125284738041,0.085260115606937,0.965
0.005694760820046,0.09971098265896,0.96
0.005694760820046,0.122832369942197,0.955
0.005694760820046,0.143063583815029,0.95
0.005694760820046,0.164739884393064,0.945
0.00626423690205,0.184971098265896,0.94
0.00626423690205,0.196531791907514,0.935
0.007403189066059,0.222543352601156,0.93
0.008542141230068,0.242774566473988,0.925
0.010250569476082,0.267341040462428,0.92
0.010820045558087,0.281791907514451,0.915
0.011389521640091,0.303468208092486,0.91
0.011389521640091,0.313583815028902,0.905
0.013097949886105,0.326589595375723,0.9
0.015945330296128,0.342485549132948,0.895
0.017084282460137,0.354046242774566,0.89
0.018223234624146,0.367052023121387,0.885
0.01993166287016,0.384393063583815,0.88
0.020501138952164,0.397398843930636,0.875
0.022209567198178,0.407514450867052,0.87
0.022209567198178,0.423410404624277,0.865
0.022209567198178,0.436416184971098,0.86
0.022779043280182,0.447976878612717,0.855
0.023917995444191,0.471098265895954,0.85
0.025626423690205,0.486994219653179,0.845
0.026765375854214,0.494219653179191,0.84
0.027334851936219,0.514450867052023,0.835
0.027334851936219,0.520231213872832,0.83
0.027904328018223,0.531791907514451,0.825
0.030182232346242,0.546242774566474,0.82
0.031890660592255,0.566473988439306,0.815
0.03246013667426,0.57514450867052,0.81
0.03246013667426,0.583815028901734,0.805
0.033029612756264,0.598265895953757,0.8
0.033029612756264,0.605491329479769,0.795
0.035307517084283,0.61271676300578,0.79
0.035307517084283,0.624277456647399,0.785
0.035307517084283,0.63150289017341,0.78
0.035876993166287,0.641618497109826,0.775
0.035876993166287,0.65606936416185,0.77
0.036446469248292,0.664739884393063,0.765
0.037015945330296,0.671965317919075,0.76
0.038154897494305,0.682080924855491,0.755
0.039863325740319,0.686416184971098,0.75
0.041002277904328,0.692196531791907,0.745
0.042141230068337,0.709537572254335,0.74
0.043849658314351,0.715317919075144,0.735
0.046127562642369,0.723988439306358,0.73
0.047266514806378,0.734104046242775,0.725
0.047266514806378,0.745664739884393,0.72
0.047835990888383,0.751445086705202,0.715
0.048405466970387,0.763005780346821,0.71
0.048974943052392,0.771676300578035,0.705
0.050113895216401,0.783236994219653,0.695
0.05125284738041,0.790462427745665,0.69
0.051822323462415,0.799132947976879,0.685
0.054100227790433,0.810693641618497,0.675
0.054100227790433,0.813583815028902,0.67
0.055239179954442,0.819364161849711,0.665
0.055808656036447,0.822254335260116,0.66
0.056378132118451,0.828034682080925,0.655
